taxa	taxid	superkingdom	clade	kingdom	family	genus
Vulcanisaeta moutnovskia	985052	Archaea	TACK group	NA	Thermoproteaceae	Vulcanisaeta
Ferroplasma acidiphilum	74969	Archaea	NA	NA	Ferroplasmaceae	Ferroplasma
Sanxia picorna-like virus 2	1923371	Viruses	Riboviria	NA	NA	NA
Streptococcus phage IPP66	1916202	Viruses	Duplodnaviria	Heunggongvirae	NA	Paclarkvirus
Hacihdavirus animalis	2955969	Viruses	Duplodnaviria	Heunggongvirae	Intestiviridae	Hacihdavirus
Whopevirus animalis	2956679	Viruses	Duplodnaviria	Heunggongvirae	Intestiviridae	Whopevirus
Drivevirus gastrointestinalis	2955765	Viruses	Duplodnaviria	Heunggongvirae	Intestiviridae	Drivevirus
Streptococcus phage CHPC875	2365043	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Moineauvirus
Copernicusvirus Ef63	2844140	Viruses	Duplodnaviria	Heunggongvirae	Rountreeviridae	Copernicusvirus
Metabacillus dongyingensis	2874282	Bacteria	Terrabacteria group	NA	Bacillaceae	Metabacillus
Delmidovirus copri	2955739	Viruses	Duplodnaviria	Heunggongvirae	Intestiviridae	Delmidovirus
Salmondvirus JA11	2734141	Viruses	Duplodnaviria	Heunggongvirae	NA	Salmondvirus
Asgard archaea virus VerdaV2	2944668	NA	NA	NA	NA	NA
Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite	713090	Viruses	NA	NA	Alphasatellitidae	NA
Bacillus sp. PAMC26543	2762329	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Ephemerovirus febris	1972593	Viruses	Riboviria	Orthornavirae	Rhabdoviridae	Ephemerovirus
Halalkaliarchaeum sp. AArc-CO	2866381	Archaea	Stenosarchaea group	NA	Haloferacaceae	Halalkaliarchaeum
Saccharomyces 20S RNA narnavirus	186772	Viruses	Riboviria	Orthornavirae	Narnaviridae	Narnavirus
Pseudomonas phage Lu11	1161927	Viruses	Duplodnaviria	Heunggongvirae	NA	NA
Daphnia iridovirus 1	1934253	NA	NA	NA	NA	NA
Enterobacter sp. LU1	1848517	Bacteria	NA	NA	Enterobacteriaceae	Enterobacter
Natrinema versiforme	88724	Archaea	Stenosarchaea group	NA	Natrialbaceae	Natrinema
Pahexavirus PHL025M00	1982274	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Citrobacter sp. RHB35-C17	2742625	Bacteria	NA	NA	Enterobacteriaceae	Citrobacter
Betapapillomavirus 1	337051	Viruses	Monodnaviria	Shotokuvirae	Papillomaviridae	Betapapillomavirus
Synechocystis sp. PCC 7338	2732530	Bacteria	Terrabacteria group	NA	Merismopediaceae	Synechocystis
Polynucleobacter duraquae	1835254	Bacteria	NA	NA	Burkholderiaceae	Polynucleobacter
Zunongwangia sp. HGR-M22	3015168	Bacteria	FCB group	NA	Flavobacteriaceae	Zunongwangia
Desulfomicrobium sp. ZS1	2952228	Bacteria	NA	NA	Desulfomicrobiaceae	Desulfomicrobium
Haloplanus aerogenes	660522	Archaea	Stenosarchaea group	NA	Haloferacaceae	Haloplanus
Zucchini tigre mosaic virus	1406816	Viruses	Riboviria	Orthornavirae	Potyviridae	Potyvirus
Zucchini shoestring virus	1679239	Viruses	Riboviria	Orthornavirae	Potyviridae	Potyvirus
Emaravirus populi	2843741	Viruses	Riboviria	Orthornavirae	Fimoviridae	Emaravirus
Streptococcus phage CHPC1151	1913083	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Vansinderenvirus
Seoulvirus SPN3US	1984796	Viruses	Duplodnaviria	Heunggongvirae	NA	Seoulvirus
Tomato leaf curl Philippine betasatellite	2173168	Viruses	NA	NA	Tolecusatellitidae	Betasatellite
Tomato leaf curl Pakistan betasatellite	1609290	Viruses	NA	NA	Tolecusatellitidae	Betasatellite
Ictavirus ictaluridallo2	3050302	Viruses	Duplodnaviria	Heunggongvirae	Alloherpesviridae	Ictavirus
Salmonella sp. SA17155	3030530	Bacteria	NA	NA	Enterobacteriaceae	Salmonella
Pseudoalteromonas sp. Scap06	2589991	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. M8	2692624	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Synechococcus sp. A15-44	1050646	Bacteria	Terrabacteria group	NA	Synechococcaceae	Synechococcus
Torradovirus marchitezum	3048376	Viruses	Riboviria	Orthornavirae	Secoviridae	Torradovirus
Tomato necrotic dwarf virus	1481465	Viruses	Riboviria	Orthornavirae	Secoviridae	Torradovirus
